"date","borough","case_count","hosp_count","death_count","vx_fully","vx_plus1","vx_additional","vx_fully_perc","vx_plus1_perc","vx_additional_perc","population","percent","case_count_perc","hosp_count_perc","death_count_perc"
2020-03-18,"Staten Island",150,23,0,NA,NA,NA,NA,NA,NA,495747,5.6,0.0302573691822643,0.00463946327461387,0
2020-03-19,"Bronx",623,135,4,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0423045739189246,0.00916712275931753,0.000271618452127927
2020-03-19,"Brooklyn",1204,159,6,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0440046577687592,0.00581124633324976,0.000219292314462255
2020-03-19,"Manhattan",555,106,4,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0327578381243393,0.00625645196609003,0.000236092527022265
2020-03-19,"Queens",1065,208,6,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0442742023992045,0.00864698037468031,0.000249432126192701
2020-03-19,"Staten Island",258,26,4,NA,NA,NA,NA,NA,NA,495747,5.6,0.0520426749934947,0.00524461065825915,0.000806863178193716
2020-03-20,"Bronx",723,126,13,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0490950352221228,0.0085559812420297,0.000882759969415762
2020-03-20,"Brooklyn",1136,222,11,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0415193448715203,0.00811381563510344,0.000402035909847468
2020-03-20,"Manhattan",653,113,11,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0385421050363848,0.006669613888379,0.00064925444931123
2020-03-20,"Queens",1185,247,9,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0492628449230585,0.0102682891949329,0.000374148189289052
2020-03-20,"Staten Island",310,33,3,NA,NA,NA,NA,NA,NA,495747,5.6,0.062531896310013,0.00665662122009815,0.000605147383645287
2020-03-21,"Bronx",491,159,12,NA,NA,NA,NA,NA,NA,1472654,16.7,0.033341164998703,0.0107968334720851,0.00081485535638378
2020-03-21,"Brooklyn",554,184,12,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0202479903686816,0.00672496431017582,0.00043858462892451
2020-03-21,"Manhattan",399,117,5,NA,NA,NA,NA,NA,NA,1694251,19.2,0.023550229570471,0.00690570641540126,0.000295115658777832
2020-03-21,"Queens",947,244,14,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0393687039174147,0.0101435731318365,0.000582008294449636
2020-03-21,"Staten Island",248,33,1,NA,NA,NA,NA,NA,NA,495747,5.6,0.0500255170480104,0.00665662122009815,0.000201715794548429
2020-03-22,"Bronx",495,174,12,NA,NA,NA,NA,NA,NA,1472654,16.7,0.033612783450831,0.0118154026675648,0.00081485535638378
2020-03-22,"Brooklyn",755,206,10,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0275942829031671,0.00752903612987076,0.000365487190770425
2020-03-22,"Manhattan",317,132,7,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0187103327665145,0.00779105339173475,0.000413161922288964
2020-03-22,"Queens",696,231,14,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0289341266383533,0.009603136858419,0.000582008294449636
2020-03-22,"Staten Island",317,34,6,NA,NA,NA,NA,NA,NA,495747,5.6,0.063943906871852,0.00685833701464658,0.00121029476729057
2020-03-23,"Bronx",730,219,12,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0495703675133466,0.014871110254004,0.00081485535638378
2020-03-23,"Brooklyn",909,296,27,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0332227856410316,0.0108184208468046,0.000986815415080148
2020-03-23,"Manhattan",530,186,7,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0312822598304502,0.0109783025065353,0.000413161922288964
2020-03-23,"Queens",1192,391,28,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0495538490702833,0.0162546602235577,0.00116401658889927
2020-03-23,"Staten Island",209,43,8,NA,NA,NA,NA,NA,NA,495747,5.6,0.0421586010606217,0.00867377916558244,0.00161372635638743
2020-03-24,"Bronx",927,271,14,NA,NA,NA,NA,NA,NA,1472654,16.7,0.062947576280647,0.018402150131667,0.000950664582447744
2020-03-24,"Brooklyn",1212,361,23,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0442970475213755,0.0131940875868123,0.000840620538771978
2020-03-24,"Manhattan",619,205,17,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0365353185566956,0.0120997420098911,0.00100339323984463
2020-03-24,"Queens",1389,421,35,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0577435372136103,0.0175018208545212,0.00145502073612409
2020-03-24,"Staten Island",350,48,6,NA,NA,NA,NA,NA,NA,495747,5.6,0.0706005280919501,0.00968235813832459,0.00121029476729057
2020-03-25,"Bronx",1068,313,30,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0725221267181565,0.0212541438790103,0.00203713839095945
2020-03-25,"Brooklyn",1255,424,37,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0458686424416883,0.015496656888666,0.00135230260585057
2020-03-25,"Manhattan",586,200,20,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0345875552087619,0.0118046263511133,0.00118046263511133
2020-03-25,"Queens",1571,448,33,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0653096450414556,0.0186242654223884,0.00137187669405986
2020-03-25,"Staten Island",394,53,4,NA,NA,NA,NA,NA,NA,495747,5.6,0.079476023052081,0.0106909371110667,0.000806863178193716
2020-03-26,"Bronx",998,319,38,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0677688038059178,0.0216615715572022,0.0025803752952153
2020-03-26,"Brooklyn",1372,490,50,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0501448425737023,0.0179088723477508,0.00182743595385213
2020-03-26,"Manhattan",626,226,29,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0369484804789845,0.013339227776758,0.00171167082091142
2020-03-26,"Queens",1644,452,60,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0683444025768001,0.0187905535065168,0.00249432126192701
2020-03-26,"Staten Island",404,56,10,NA,NA,NA,NA,NA,NA,495747,5.6,0.0814931809975653,0.011296084494712,0.00201715794548429
2020-03-27,"Bronx",1090,315,36,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0740160282048601,0.0213899531050742,0.00244456606915134
2020-03-27,"Brooklyn",1426,474,75,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0521184734038626,0.0173240928425181,0.00274115393077819
2020-03-27,"Manhattan",656,222,41,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0387191744316515,0.0131031352497357,0.00241994840197822
2020-03-27,"Queens",1576,513,58,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0655175051466162,0.021326446789476,0.00241117721986278
2020-03-27,"Staten Island",371,65,7,NA,NA,NA,NA,NA,NA,495747,5.6,0.0748365597774671,0.0131115266456479,0.001412010561839
2020-03-28,"Bronx",761,313,62,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0516754105173381,0.0212541438790103,0.00421008600798287
2020-03-28,"Brooklyn",863,396,77,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0315415445634877,0.0144732927545088,0.00281425136893227
2020-03-28,"Manhattan",388,187,28,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0229009751211597,0.0110373256382909,0.00165264768915586
2020-03-28,"Queens",1201,451,92,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0499279972595724,0.0187489814854847,0.00382462593495475
2020-03-28,"Staten Island",266,50,13,NA,NA,NA,NA,NA,NA,495747,5.6,0.0536564013498821,0.0100857897274214,0.00262230532912958
2020-03-29,"Bronx",699,324,55,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0474653245093552,0.0220010946223621,0.00373475371675899
2020-03-29,"Brooklyn",1149,465,89,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0419944782195218,0.0169951543708248,0.00325283599785678
2020-03-29,"Manhattan",407,160,35,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0240224146245155,0.00944370108089061,0.00206580961144482
2020-03-29,"Queens",1075,505,94,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0446899226095256,0.020993870621219,0.00390776997701899
2020-03-29,"Staten Island",230,64,17,NA,NA,NA,NA,NA,NA,495747,5.6,0.0463946327461387,0.0129098108510995,0.00342916850732329
2020-03-30,"Bronx",1315,352,75,NA,NA,NA,NA,NA,NA,1472654,16.7,0.089294566137056,0.0239024237872576,0.00509284597739863
2020-03-30,"Brooklyn",1754,558,106,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0641064532611326,0.0203941852449897,0.00387416422216651
2020-03-30,"Manhattan",802,276,34,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0473365516679642,0.0162903843645363,0.00200678647968925
2020-03-30,"Queens",1859,610,98,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0772823870987053,0.0253589328295913,0.00407405806114745
2020-03-30,"Staten Island",398,72,10,NA,NA,NA,NA,NA,NA,495747,5.6,0.0802828862302747,0.0145235372074869,0.00201715794548429
2020-03-31,"Bronx",1282,390,98,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0870537139070006,0.0264827990824729,0.00665465207713421
2020-03-31,"Brooklyn",1512,544,127,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0552616632444883,0.0198825031779111,0.0046416873227844
2020-03-31,"Manhattan",616,223,43,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0363582491614289,0.0131621583814913,0.00253799466548935
2020-03-31,"Queens",1811,592,96,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0752869300891637,0.0246106364510132,0.00399091401908322
2020-03-31,"Staten Island",237,69,22,NA,NA,NA,NA,NA,NA,495747,5.6,0.0478066433079777,0.0139183898238416,0.00443774748006544
2020-04-01,"Bronx",1240,377,93,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0842017201596573,0.0256000391130571,0.0063151290119743
2020-04-01,"Brooklyn",1590,515,135,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0581124633324976,0.0188225903246769,0.00493407707540074
2020-04-01,"Manhattan",573,217,59,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0338202544959395,0.0128080195909579,0.00348236477357841
2020-04-01,"Queens",1782,579,144,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0740813414792323,0.0240702001775957,0.00598637102862483
2020-04-01,"Staten Island",264,83,16,NA,NA,NA,NA,NA,NA,495747,5.6,0.0532529697607852,0.0167424109475196,0.00322745271277486
2020-04-02,"Bronx",1289,355,96,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0875290461982244,0.0241061376263535,0.00651884285107024
2020-04-02,"Brooklyn",1610,447,171,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0588434377140384,0.016337277427438,0.00624983096217427
2020-04-02,"Manhattan",652,242,62,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0384830819046292,0.014283597884847,0.00365943416884511
2020-04-02,"Queens",1826,572,140,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0759105104046454,0.0237791960303709,0.00582008294449636
2020-04-02,"Staten Island",369,74,29,NA,NA,NA,NA,NA,NA,495747,5.6,0.0744331281883703,0.0149269687965837,0.00584975804190444
2020-04-03,"Bronx",1452,384,116,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0985974981224374,0.026075371404281,0.00787693511170988
2020-04-03,"Brooklyn",1440,449,144,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0526301554709412,0.0164103748655921,0.00526301554709412
2020-04-03,"Manhattan",671,257,51,NA,NA,NA,NA,NA,NA,1694251,19.2,0.039604521407985,0.0151689448611805,0.00301017971953388
2020-04-03,"Queens",1762,560,159,NA,NA,NA,NA,NA,NA,2405464,27.3,0.07324990105859,0.0232803317779855,0.00660995134410658
2020-04-03,"Staten Island",345,69,29,NA,NA,NA,NA,NA,NA,495747,5.6,0.069591949119208,0.0139183898238416,0.00584975804190444
2020-04-04,"Bronx",1012,312,106,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0687194683883655,0.0211862392659783,0.00719788898139006
2020-04-04,"Brooklyn",920,379,165,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0336248215508791,0.0138519645301991,0.00603053864771201
2020-04-04,"Manhattan",385,199,62,NA,NA,NA,NA,NA,NA,1694251,19.2,0.022723905725893,0.0117456032193577,0.00365943416884511
2020-04-04,"Queens",1203,521,158,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0500111413016366,0.0216590229577329,0.00656837932307447
2020-04-04,"Staten Island",345,54,20,NA,NA,NA,NA,NA,NA,495747,5.6,0.069591949119208,0.0108926529056152,0.00403431589096858
2020-04-05,"Bronx",822,311,124,NA,NA,NA,NA,NA,NA,1472654,16.7,0.055817591912289,0.0211183346529463,0.00842017201596573
2020-04-05,"Brooklyn",1143,404,165,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0417751859050596,0.0147656825071252,0.00603053864771201
2020-04-05,"Manhattan",356,191,86,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0210122349049816,0.0112734181653132,0.0050759893309787
2020-04-05,"Queens",1135,438,181,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0471842438714527,0.0182085452120672,0.00752453580681316
2020-04-05,"Staten Island",323,72,22,NA,NA,NA,NA,NA,NA,495747,5.6,0.0651542016391426,0.0145235372074869,0.00443774748006544
2020-04-06,"Bronx",1514,389,112,NA,NA,NA,NA,NA,NA,1472654,16.7,0.10280758413042,0.0264148944694409,0.00760531665958195
2020-04-06,"Brooklyn",1461,475,169,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0533976785715591,0.0173606415615952,0.00617673352402018
2020-04-06,"Manhattan",721,265,69,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0425556779957633,0.0156411299152251,0.00407259609113408
2020-04-06,"Queens",1927,551,202,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0801092845288892,0.0229061835886964,0.00839754824848761
2020-04-06,"Staten Island",730,83,24,NA,NA,NA,NA,NA,NA,495747,5.6,0.147252530020353,0.0167424109475196,0.00484117906916229
2020-04-07,"Bronx",1463,334,115,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0993444488657893,0.0226801407526819,0.0078090304986779
2020-04-07,"Brooklyn",1397,468,180,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0510585605506284,0.0171048005280559,0.00657876943386765
2020-04-07,"Manhattan",605,194,92,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0357089947121176,0.0114504875605799,0.0054301281215121
2020-04-07,"Queens",1949,536,184,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0810238689915958,0.0222826032732146,0.00764925186990951
2020-04-07,"Staten Island",630,69,27,NA,NA,NA,NA,NA,NA,495747,5.6,0.12708095056551,0.0139183898238416,0.00544632645280758
2020-04-08,"Bronx",1305,357,114,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0886155200067361,0.0242419468524175,0.00774112588564592
2020-04-08,"Brooklyn",1305,455,171,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0476960783955405,0.0166296671800543,0.00624983096217427
2020-04-08,"Manhattan",546,172,66,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0322266299385392,0.0101519786619574,0.00389552669586738
2020-04-08,"Queens",1857,517,183,NA,NA,NA,NA,NA,NA,2405464,27.3,0.077199243056641,0.0214927348736044,0.00760767984887739
2020-04-08,"Staten Island",562,63,34,NA,NA,NA,NA,NA,NA,495747,5.6,0.113364276536217,0.012708095056551,0.00685833701464658
2020-04-09,"Bronx",1285,272,108,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0872574277460965,0.018470054744699,0.00733369820745402
2020-04-09,"Brooklyn",1369,417,188,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0500351964164712,0.0152408158551267,0.00687115918648399
2020-04-09,"Manhattan",558,191,65,NA,NA,NA,NA,NA,NA,1694251,19.2,0.032934907519606,0.0112734181653132,0.00383650356411181
2020-04-09,"Queens",1560,428,172,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0648523528101023,0.017792825001746,0.0071503876175241
2020-04-09,"Staten Island",298,53,25,NA,NA,NA,NA,NA,NA,495747,5.6,0.0601113067754318,0.0106909371110667,0.00504289486371072
2020-04-10,"Bronx",1227,296,116,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0833189601902416,0.0200997654574666,0.00787693511170988
